averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG
130.69,59,6929,309,53,"Palmer, Carson",QB,,ARI,8,1
130.74,72,10713,258,20,"Pierce, Bernard",RB,,BAL,8,1
131.42,19,9864,200,75,"Burnett, Morgan",S,,GBP,8,1
132.30,63,10725,254,51,"Randle, Rueben",WR,,NYG,8,1
132.65,103,2842,326,59,"Vinatieri, Adam",PK,,IND,8,1
133.35,52,9064,310,35,"Flacco, Joe",QB,,BAL,8,1
133.37,111,3494,316,36,"Dawson, Phil",PK,,SFO,8,1
133.41,22,9425,279,67,"Wake, Cameron",DE,,MIA,8,1
133.67,69,11213,250,63,"Austin, Tavon",WR,,STL,8,1
133.68,63,11660,257,13,"Freeman, Devonta",RB,R,ATL,8,1
133.77,110,10506,301,65,"Bailey, Dan",PK,,DAL,8,1
134.31,39,0501,197,39,"Bills, Buffalo",Def,,BUF,8,1
134.39,66,9450,286,23,"Nicks, Hakeem",WR,,IND,8,1
134.85,54,11676,271,10,"Matthews, Jordan",WR,R,PHI,8,1
134.89,56,10697,296,50,"Tannehill, Ryan",QB,,MIA,8,1
134.91,54,11746,269,13,"West, Terrance",RB,R,CLE,8,1
136.69,13,9930,291,55,"Verner, Alterraun",CB,,TBB,8,1
137.00,16,9868,258,50,"Atkins, Geno",DT,,CIN,8,1
137.16,45,0525,292,77,"Buccaneers, Tampa Bay",Def,,TBB,8,1
137.25,65,9087,278,44,"McFadden, Darren",RB,,OAK,8,1
137.50,20,9051,224,78,"Campbell, Calais",DE,,ARI,8,1
138.11,18,8258,282,75,"Greenway, Chad",LB,,MIN,8,1
138.46,41,0523,271,81,"Packers, Green Bay",Def,,GBP,8,1
138.57,21,7516,287,64,"Allen, Jared",DE,,CHI,8,1
138.71,48,0529,281,73,"Saints, New Orleans",Def,,NOS,8,1
138.88,8,7194,351,4,"Hill, Shaun",QB,,STL,8,1
139.31,16,10879,217,59,"Trevathan, Danny",LB,,DEN,8,1
139.40,15,6963,301,71,"Tillman, Charles",CB,,CHI,8,1
140.00,23,10982,270,65,"Freeman, Jerrell",LB,,IND,8,1
140.38,8,0524,258,35,"Vikings, Minnesota",Def,,MIN,8,1
140.60,20,11721,234,21,"Mack, Khalil",LB,R,OAK,8,1
140.91,65,10362,286,42,"Shorts, Cecil",WR,,JAC,8,1
141.11,61,8268,290,56,"Williams, DeAngelo",RB,,CAR,8,1
141.26,47,0507,211,71,"Browns, Cleveland",Def,,CLE,8,1
141.90,20,8242,259,73,"Williams, Mario",DE,,BUF,8,1
142.35,23,8376,252,65,"Ninkovich, Rob",DE,,NEP,8,1
142.42,12,8958,249,21,"Williams, Tramon",CB,,GBP,8,1
142.59,39,0531,249,62,"Ravens, Baltimore",Def,,BAL,8,1
142.68,19,10782,282,79,"Barron, Mark",S,,STL,8,1
143.15,34,6589,349,6,"McCown, Josh",QB,,TBB,8,1
143.48,33,0510,265,42,"Steelers, Pittsburgh",Def,,PIT,8,1
143.56,9,7859,236,61,"Nugent, Mike",PK,,CIN,8,1
143.70,43,5666,269,75,"Janikowski, Sebastian",PK,,OAK,8,1
144.16,62,9308,320,45,"Amendola, Danny",WR,,NEP,8,1
144.29,63,7842,321,64,"Miller, Heath",TE,,PIT,8,1
145.03,75,8153,303,84,"Gould, Robbie",PK,,CHI,8,1
145.24,49,11658,328,14,"Williams, Andre",RB,R,NYG,8,1
145.27,15,9820,267,50,"Haden, Joe",CB,,CLE,8,1
145.33,21,0518,312,44,"Eagles, Philadelphia",Def,,PHI,8,1
145.84,43,4974,277,71,"Smith, Steve",WR,,BAL,8,1
146.00,41,11179,304,27,"Michael, Christine",RB,,SEA,8,1
146.59,17,7398,255,65,"Hall, Deangelo",CB,,WAS,8,1
147.91,34,11250,273,59,"Eifert, Tyler",TE,,CIN,8,1
148.40,15,0517,231,93,"Giants, New York",Def,,NYG,8,1
148.58,12,11966,340,78,"Parkey, Cody",PK,R,PHI,8,1
148.97,61,8144,288,33,"Novak, Nick",PK,,SDC,8,1
149.11,72,10872,311,66,"Walsh, Blair",PK,,MIN,8,1
149.95,22,0505,267,95,"Jets, New York",Def,,NYJ,8,1
150.00,16,11150,260,73,"Smith, Geno",QB,,NYJ,8,1
150.03,63,6789,322,94,"Bryant, Matt",PK,,ATL,8,1
150.55,20,11324,276,29,"Vaccaro, Kenny",S,,NOS,8,1
151.14,44,10930,320,36,"Boykin, Jarrett",WR,,GBP,8,1
151.26,19,11313,280,34,"Mathieu, Tyrann",S,,ARI,8,1
151.38,45,11466,287,12,"Robinson, Khiry",RB,,NOS,8,1
151.40,42,11244,356,29,"Kelce, Travis",TE,,KCC,8,1
151.47,45,8293,317,35,"Jennings, Greg",WR,,MIN,8,1
151.79,29,8776,346,74,"Jones, James",WR,,OAK,8,1
152.22,36,11194,295,23,"Davis, Knile",RB,,KCC,8,1
152.53,17,11267,241,31,"Ansah, Ezekiel",DE,,DET,8,1
152.93,42,11229,284,65,"Wheaton, Markus",WR,,PIT,8,1
153.43,42,11672,282,25,"Lee, Marqise",WR,R,JAC,8,1
153.50,18,7820,220,54,"Rolle, Antrel",S,,NYG,8,1
153.61,33,11650,281,22,"Mason, Tre",RB,R,STL,8,1
153.89,18,9936,348,16,"Graham, Garrett",TE,,HOU,8,1
154.18,34,10742,291,74,"Allen, Dwayne",TE,,IND,8,1
154.38,16,10365,241,91,"Henery, Alex",PK,,FA*,8,1
154.90,10,11252,357,19,"Toilolo, Levine",TE,,ATL,8,1
155.15,26,11526,356,44,"Wright, Tim",TE,,NEP,8,1
155.50,12,11866,264,92,"Freese, Nate",PK,R,FA,8,1
155.69,32,8510,266,75,"Austin, Miles",WR,,CLE,8,1
