plyrId,firstNm,lastNm,pos,tm
10400,Chris,Carter,LB,WAS
10402,Pernell,McPhee,LB,CHI
10408,Byron,Maxwell,CB,MIA
10409,Charles,Clay,TE,BUF
10410,Dwayne,Harris,WR,NYG
10412,Aldrick,Robinson,WR,SFO
10413,Tyrod,Taylor,QB,BUF
10422,Colin,Jones,S,CAR
10423,Matt,Bosher,PN,ATL
10426,J.T.,Thomas,LB,NYG
10432,Virgil,Green,TE,DEN
10457,Lawrence,Guy,DT,NEP
10458,Andrew,Gachkar,LB,FA
10465,Malcolm,Smith,LB,SFO
10486,Ian,Williams,DT,FA
10487,Kai,Forbath,PK,MIN
10488,Mark,Herzlich,LB,NYG
10498,Scott,Tolzien,QB,IND
10500,Terrelle,Pryor,WR,WAS
10506,Dan,Bailey,PK,DAL
10514,Nick,Bellore,LB,DET
10516,Bryan,Walters,WR,FA
10527,Doug,Baldwin,WR,SEA
10529,Spencer,Paysinger,LB,FA
10530,DuJuan,Harris,RB,FA
10540,Tom,Johnson,DT,MIN
10541,Isa,Abdul-Quddus,S,FA
10542,Bryan,Braman,LB,NOS
10549,Albert,McClellan,LB,BAL
10551,Richie,Brockel,TE,FA
10554,Mario,Addison,DE,CAR
10560,Mitch,Unrein,DE,CHI
10585,Justin,Trattou,DE,TBB
10592,Chris,Harris,CB,DEN
10601,Andrew,Hawkins,WR,FA
10610,Ron,Parker,S,KCC
10626,Sterling,Moore,CB,NOS
10632,Corbin,Bryant,DT,NYG
10642,Chris,Jones,PN,DAL
10651,Kamar,Aiken,WR,IND
10653,Josh,Bynes,LB,ARI
10662,Ben,Jacobs,LB,CAR
10671,Todd,Bowles,Coach,NYJ
10674,Andre,Holmes,WR,BUF
10675,Cedric,Thornton,DT,BUF
10676,Michael,Morgan,LB,FA
10689,Shaun,Draughn,RB,FA
10693,Dennis,Allen,Coach,FA
10694,Joe,Philbin,Coach,FA
10695,Andrew,Luck,QB,IND
10696,Robert,Griffin III,QB,FA
10697,Ryan,Tannehill,QB,MIA
10698,Brandon,Weeden,QB,TEN
10699,Nick,Foles,QB,PHI
10700,Kirk,Cousins,QB,WAS
10701,Kellen,Moore,QB,DAL
10702,Brock,Osweiler,QB,DEN
10703,Russell,Wilson,QB,SEA
10706,Trent,Richardson,RB,FA
10708,Lamar,Miller,RB,HOU
10709,Doug,Martin,RB,TBB
10710,Chris,Polk,RB,FA
10713,Bernard,Pierce,RB,FA
10714,Robert,Turbin,RB,IND
10718,Isaiah,Pead,RB,FA
10719,Justin,Blackmon,WR,FA
10720,Kendall,Wright,WR,CHI
10721,Michael,Floyd,WR,MIN
10722,Alshon,Jeffery,WR,PHI
10723,Mohamed,Sanu,WR,ATL
10725,Rueben,Randle,WR,FA
10729,T.Y.,Hilton,WR,IND
10734,Jarius,Wright,WR,MIN
10735,Brian,Quick,WR,WAS
10736,Chris,Givens,WR,FA
10737,Travis,Benjamin,WR,LAC
10738,Marvin,Jones,WR,DET
10742,Dwayne,Allen,TE,NEP
10743,Coby,Fleener,TE,NOS
10744,Ladarius,Green,TE,FA
10747,Orson,Charles,TE,FA
10749,Melvin,Ingram,DE,LAC
10750,Nick,Perry,LB,GBP
10752,Andre,Branch,DE,MIA
10753,Chandler,Jones,LB,ARI
10754,Whitney,Mercilus,LB,HOU
10755,Vinny,Curry,DE,PHI
10759,Jerel,Worthy,DT,BUF
10760,Devon,Still,DE,FA
10761,Dontari,Poe,DT,ATL
10762,Fletcher,Cox,DT,PHI
