plyrId,avgPick,draftCnt,totDrafts,pprFlg,year
11293,109.72,189,3366,1,2014
8667,110.18,3371,3366,1,2014
10725,111.19,3315,3366,1,2014
8934,113.56,3350,3366,1,2014
11212,114.10,3287,3366,1,2014
9964,116.39,3360,3366,1,2014
0530,116.53,3150,3366,1,2014
11660,117.31,3325,3366,1,2014
7423,117.75,194,3366,1,2014
10713,118.39,3335,3366,1,2014
10313,119.57,3345,3366,1,2014
9044,119.95,3320,3366,1,2014
10362,120.04,3297,3366,1,2014
7827,120.44,199,3366,1,2014
11213,120.90,3251,3366,1,2014
9439,121.50,195,3366,1,2014
0527,122.42,3143,3366,1,2014
10960,122.76,1912,3366,1,2014
10744,123.29,3282,3366,1,2014
6982,124.63,3329,3366,1,2014
11654,125.09,3237,3366,1,2014
9450,125.88,3259,3366,1,2014
10267,126.55,185,3366,1,2014
11746,126.89,3222,3366,1,2014
9847,126.97,190,3366,1,2014
11676,126.99,3118,3366,1,2014
9829,127.65,190,3366,1,2014
7401,127.84,3344,3366,1,2014
10807,129.21,180,3366,1,2014
10783,130.53,188,3366,1,2014
9308,130.82,3251,3366,1,2014
10409,131.28,3248,3366,1,2014
9086,132.45,186,3366,1,2014
11695,132.82,3187,3366,1,2014
0528,133.45,3144,3366,1,2014
10276,133.70,3178,3366,1,2014
11179,133.98,2993,3366,1,2014
9087,134.91,3282,3366,1,2014
8359,135.41,3198,3366,1,2014
10074,135.56,187,3366,1,2014
11229,136.12,3161,3366,1,2014
9833,136.77,186,3366,1,2014
0511,137.61,3116,3366,1,2014
11706,138.72,198,3366,1,2014
8268,139.83,3257,3366,1,2014
11227,141.39,3045,3366,1,2014
0512,142.62,3124,3366,1,2014
11457,142.62,177,3366,1,2014
11658,143.26,2908,3366,1,2014
10314,143.76,188,3366,1,2014
0506,144.23,3100,3366,1,2014
9840,144.43,170,3366,1,2014
8293,146.78,3080,3366,1,2014
7236,147.78,3082,3366,1,2014
9816,147.90,183,3366,1,2014
0504,148.45,3108,3366,1,2014
7842,148.84,3025,3366,1,2014
8713,148.90,181,3366,1,2014
11466,149.06,2956,3366,1,2014
6929,149.09,2977,3366,1,2014
10930,149.22,2929,3366,1,2014
10697,149.97,3047,3366,1,2014
4974,150.41,2994,3366,1,2014
10292,150.76,170,3366,1,2014
8930,151.81,3030,3366,1,2014
11672,152.40,2704,3366,1,2014
0519,153.04,3045,3366,1,2014
8258,153.87,169,3366,1,2014
10738,153.98,2587,3366,1,2014
11250,154.05,2739,3366,1,2014
9545,154.13,2863,3366,1,2014
9425,154.16,184,3366,1,2014
11214,154.57,2664,3366,1,2014
9877,156.79,178,3366,1,2014
7813,156.84,2641,3366,1,2014
11650,157.56,2416,3366,1,2014
11244,157.59,2370,3366,1,2014
9467,157.76,2622,3366,1,2014
11194,157.88,2785,3366,1,2014
8776,158.21,2841,3366,1,2014
11641,158.65,2561,3366,1,2014
10976,159.55,3198,3366,1,2014
11347,159.77,172,3366,1,2014
10742,159.96,2548,3366,1,2014
9319,160.18,3192,3366,1,2014
8416,161.30,2732,3366,1,2014
11679,161.42,2083,3366,1,2014
7391,162.16,2495,3366,1,2014
9064,162.19,2477,3366,1,2014
9051,162.54,174,3366,1,2014
7823,163.90,182,3366,1,2014
11758,165.76,1879,3366,1,2014
0532,165.85,2776,3366,1,2014
9101,166.05,2408,3366,1,2014
9864,166.48,174,3366,1,2014
10393,167.45,173,3366,1,2014
10077,167.63,2484,3366,1,2014
8917,167.90,2375,3366,1,2014
10707,168.33,667,3366,1,2014
9898,168.51,2534,3366,1,2014
10961,168.86,2160,3366,1,2014
10527,168.98,2284,3366,1,2014
11747,170.92,1790,3366,1,2014
8742,171.67,3092,3366,1,2014
10601,172.90,1965,3366,1,2014
10719,173.19,530,3366,1,2014
11697,173.60,1463,3366,1,2014
11640,174.30,1243,3366,1,2014
0521,174.89,2283,3366,1,2014
6589,174.95,1811,3366,1,2014
11228,174.96,1714,3366,1,2014
3494,175.01,3102,3366,1,2014
10506,175.03,3153,3366,1,2014
11675,175.62,1090,3366,1,2014
8510,175.86,2103,3366,1,2014
9817,176.42,907,3366,1,2014
11642,177.15,984,3366,1,2014
10743,177.72,1610,3366,1,2014
0507,177.96,2015,3366,1,2014
11526,178.07,1270,3366,1,2014
11652,178.65,1428,3366,1,2014
9458,179.12,1723,3366,1,2014
11678,179.71,783,3366,1,2014
11656,179.74,804,3366,1,2014
0529,179.85,1692,3366,1,2014
2842,180.50,2799,3366,1,2014
10975,180.80,1196,3366,1,2014
0525,181.78,1895,3366,1,2014
0501,182.12,1656,3366,1,2014
11696,182.36,1153,3366,1,2014
11677,183.55,619,3366,1,2014
9474,184.08,1446,3366,1,2014
9936,184.72,1503,3366,1,2014
0531,185.43,1420,3366,1,2014
10905,185.64,1106,3366,1,2014
0510,185.95,1585,3366,1,2014
10279,186.21,1028,3366,1,2014
10872,186.82,2553,3366,1,2014
0523,186.89,1210,3366,1,2014
9856,187.35,1332,3366,1,2014
9144,188.54,1453,3366,1,2014
10812,188.58,1379,3366,1,2014
11783,189.52,1057,3366,1,2014
10955,189.85,1264,3366,1,2014
11154,190.11,812,3366,1,2014
11785,190.65,1141,3366,1,2014
10355,190.74,1402,3366,1,2014
8153,191.65,2194,3366,1,2014
9987,192.06,1391,3366,1,2014
6475,192.55,1754,3366,1,2014
6789,192.57,2314,3366,1,2014
11150,192.83,796,3366,1,2014
9565,193.12,545,3366,1,2014
11198,193.27,727,3366,1,2014
1600,193.55,1232,3366,1,2014
11454,194.38,968,3366,1,2014
9269,195.91,1053,3366,1,2014
8144,196.20,2001,3366,1,2014
11688,196.81,462,3366,1,2014
