plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
9427,95.12,704,718,0,2016,Michael,Crabtree,WR,OAK,89.0,9427,0,0,0,0,0,0,0,8,1003,1,89,0,0,0,0,239.3,45.0
11250,95.27,660,718,0,2016,Tyler,Eifert,TE,CIN,90.0,11250,0,0,0,0,0,0,0,5,394,0,29,0,0,0,0,98.4,153.0
12176,96.46,680,718,0,2016,DeVante,Parker,WR,MIA,91.0,12176,0,0,0,0,0,0,0,4,744,0,56,0,0,0,0,154.4,109.0
10077,97.03,687,718,0,2016,Chris,Ivory,RB,JAC,92.0,10077,0,0,0,0,3,439,0,0,186,0,20,0,0,0,3,94.5,158.0
9189,98.86,658,718,0,2016,Gary,Barnidge,TE,CLE,93.0,9189,0,0,0,0,0,0,0,1,327,0,37,0,0,0,0,75.7,177.0
12658,99.99,695,718,0,2016,Sterling,Shepard,WR,NYG,94.0,12658,0,0,0,0,0,31,0,8,683,0,65,0,0,0,0,184.4,87.0
10372,100.74,645,718,0,2016,Julius,Thomas,TE,JAC,95.0,10372,0,0,0,0,0,0,0,4,281,0,30,0,0,0,0,82.1,172.0
12140,103.72,671,718,0,2016,Jameis,Winston,QB,TBB,96.0,12140,28,4090,18,3,1,168,0,0,0,0,0,0,0,0,6,316.4,12.0
12177,104.23,667,718,0,2016,Kevin,White,WR,CHI,97.0,12177,0,0,0,0,0,9,0,0,187,0,19,0,0,0,0,38.6,200.0
9898,104.47,701,718,0,2016,LeGarrette,Blount,RB,NEP,98.0,9898,0,0,0,0,18,1161,0,0,38,0,7,0,0,0,1,232.9,48.0
10700,105.95,670,718,0,2016,Kirk,Cousins,QB,WAS,99.0,10700,25,4917,12,0,4,100,0,0,0,0,0,0,0,0,3,348.68,6.0
10389,107.31,380,718,0,2016,Dion,Lewis,RB,NEP,100.0,10389,0,0,0,0,0,283,0,0,94,0,17,0,0,0,0,54.7,190.0
12154,109.03,667,718,0,2016,Jay,Ajayi,RB,MIA,101.0,12154,0,0,0,0,8,1272,0,0,151,0,27,0,0,0,1,215.3,57.0
11247,109.21,613,718,0,2016,Zach,Ertz,TE,PHI,102.0,11247,0,0,0,0,0,0,0,4,816,0,78,0,0,0,0,183.6,88.0
12186,110.7,657,718,0,2016,Stefon,Diggs,WR,MIN,103.0,12186,0,0,0,0,0,10,0,3,903,0,84,0,0,0,0,193.3,77.0
7236,113.45,633,718,0,2016,Antonio,Gates,TE,SDC,105.0,7236,0,0,0,0,0,0,0,7,548,0,53,0,0,0,1,147.8,114.0
9925,114.05,651,718,0,2016,Jimmy,Graham,TE,SEA,106.0,9925,0,0,0,0,0,0,0,6,923,0,65,0,0,0,2,189.3,82.0
9431,114.82,676,718,0,2016,Matthew,Stafford,QB,DET,107.0,9431,24,4327,10,0,2,207,0,0,0,0,0,0,0,0,2,317.78,10.0
11668,116.7,643,718,0,2016,Isaiah,Crowell,RB,CLE,108.0,11668,0,0,0,0,7,944,0,0,319,0,40,0,0,0,2,204.3,65.0
11213,116.84,654,718,0,2016,Tavon,Austin,WR,RAM,109.0,11213,0,0,0,0,1,159,0,3,509,0,58,0,0,0,1,146.8,116.0
11951,116.86,635,718,0,2016,Willie,Snead,WR,NOS,110.0,11951,1,50,0,0,0,0,0,4,895,0,72,0,0,0,0,191.5,79.0
10313,120.32,660,718,0,2016,Andy,Dalton,QB,CIN,111.0,10313,18,4206,8,0,4,184,0,0,0,0,0,0,0,0,3,292.64,25.0
10413,120.54,654,718,0,2016,Tyrod,Taylor,QB,BUF,112.0,10413,17,3023,6,1,6,580,1,0,0,0,0,0,0,0,2,290.92,27.0
11199,123.11,566,718,0,2016,Spencer,Ware,RB,KCC,113.0,11199,0,0,0,0,3,922,0,2,447,0,33,0,0,0,3,193.9,76.0
11656,123.25,640,718,0,2016,Charles,Sims,RB,TBB,114.0,11656,0,0,0,0,1,149,0,1,190,0,24,0,0,0,1,67.9,183.0
12205,123.84,610,718,0,2016,Devin,Funchess,WR,CAR,115.0,12205,0,0,0,0,0,0,0,4,371,1,23,0,0,0,0,86.1,168.0
12261,123.98,51,718,0,2016,Ty,Montgomery,WR,GBP,116.0,12261,0,0,0,0,0,0,0,2,821,0,52,0,0,0,0,146.1,118.0
12141,124.94,647,718,0,2016,Marcus,Mariota,QB,TEN,117.0,12141,26,3426,9,0,2,357,0,0,0,0,0,0,0,0,5,296.74,20.0
12646,125.08,611,718,0,2016,Corey,Coleman,WR,CLE,118.0,12646,0,0,0,0,0,10,0,3,413,0,33,0,0,0,0,93.3,161.0
9044,126.23,618,718,0,2016,Martellus,Bennett,TE,NEP,119.0,9044,0,0,0,0,0,10,0,7,701,0,55,0,0,0,0,168.1,102.0
9099,129.2,645,718,0,2016,Matt,Ryan,QB,ATL,120.0,9099,38,4944,7,1,0,117,1,0,0,0,0,0,0,0,2,371.46,4.0
11229,129.66,624,718,0,2016,Markus,Wheaton,WR,PIT,121.0,11229,0,0,0,0,0,0,0,1,51,1,4,0,0,0,0,17.1,217.0
10737,129.98,603,718,0,2016,Travis,Benjamin,WR,SDC,122.0,10737,0,0,0,0,0,-3,0,4,677,0,47,0,0,0,3,132.4,128.0
7873,130.38,598,718,0,2016,Vincent,Jackson,WR,TBB,123.0,7873,0,0,0,0,0,0,0,4,1005,0,56,0,0,0,0,180.5,90.0
12152,130.76,605,718,0,2016,Tevin,Coleman,RB,ATL,124.0,12152,0,0,0,0,8,520,0,3,421,0,31,0,0,0,0,191.1,81.0
11179,131.75,592,718,0,2016,Christine,Michael,RB,GBP,125.0,11179,0,0,0,0,7,583,0,1,107,0,22,0,0,0,1,137.0,125.0
10742,131.99,569,718,0,2016,Dwayne,Allen,TE,IND,126.0,10742,0,0,0,0,0,0,0,6,406,1,35,0,0,0,0,113.6,141.0
10289,132.88,582,718,0,2016,Torrey,Smith,WR,SFO,127.0,10289,0,0,0,0,0,0,0,3,267,0,20,0,0,0,0,64.7,186.0
12652,133.11,551,718,0,2016,Michael,Thomas,WR,NOS,128.0,12652,0,0,0,0,0,0,0,9,1137,0,92,0,0,0,2,255.7,36.0
9474,137.13,521,718,0,2016,Jared,Cook,TE,GBP,129.0,9474,0,0,0,0,0,0,0,1,377,0,30,0,0,0,1,71.7,180.0
10744,137.44,268,718,0,2016,Ladarius,Green,TE,PIT,130.0,10744,0,0,0,0,0,0,0,1,237,0,22,0,0,0,0,51.7,193.0
6997,138.82,570,718,0,2016,Jason,Witten,TE,DAL,131.0,6997,0,0,0,0,0,0,0,3,673,0,69,0,0,0,1,152.3,110.0
12645,139.63,455,718,0,2016,Laquon,Treadwell,WR,MIN,132.0,12645,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,2.5,230.0
11188,140.46,550,718,0,2016,Theo,Riddick,RB,DET,133.0,11188,0,0,0,0,1,357,0,5,371,0,53,0,0,0,0,161.8,104.0
12629,141.66,547,718,0,2016,Devontae,Booker,RB,DEN,134.0,12629,0,0,0,0,4,612,0,1,265,0,31,0,0,0,3,142.7,122.0
11747,142.1,483,718,0,2016,James,White,RB,NEP,135.0,11747,0,0,0,0,0,166,0,5,551,0,60,0,0,0,0,161.7,105.0
10369,143.81,544,718,0,2016,Bilal,Powell,RB,NYJ,136.0,10369,0,0,0,0,3,722,0,2,388,0,58,0,0,0,1,197.0,74.0
12647,145.0,455,718,0,2016,Will,Fuller,WR,HOU,137.0,12647,0,0,0,0,0,-3,0,2,635,0,47,0,1,0,0,128.2,131.0
10697,146.5,507,718,0,2016,Ryan,Tannehill,QB,MIA,138.0,10697,19,2997,12,1,1,164,0,0,0,0,0,0,0,0,3,234.28,46.0
12857,146.64,494,718,0,2016,DeAndre,Washington,RB,OAK,139.0,12857,0,0,0,0,2,467,0,0,115,0,17,0,0,0,1,85.2,170.0
10651,146.75,481,718,0,2016,Kamar,Aiken,WR,BAL,140.0,10651,0,0,0,0,0,0,0,1,328,0,29,0,0,0,0,67.8,184.0
12620,147.04,453,718,0,2016,Dak,Prescott,QB,DAL,141.0,12620,23,3667,4,0,6,282,0,0,0,0,0,0,0,0,4,302.88,18.0
8062,147.51,511,718,0,2016,Ryan,Fitzpatrick,QB,NYJ,142.0,8062,12,2709,17,0,0,130,0,0,0,0,0,0,0,0,1,201.36,67.0
