adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
11228,0,0,0,0,0,0,0,5,699,1,65,0,0,0,1,164.9,90.0
11675,0,0,0,0,0,0,0,3,446,0,38,0,0,0,0,100.6,130.0
8510,0,0,0,0,2,224,0,0,239,0,32,0,1,0,0,96.3,135.0
11642,11,2907,17,1,0,421,0,0,0,0,0,0,0,0,1,232.38,43.0
10743,0,0,0,0,0,0,0,8,774,0,51,0,0,0,0,176.4,79.0
11526,0,0,0,0,0,0,0,1,42,0,7,0,0,0,0,17.2,183.0
11678,0,0,0,0,0,0,0,2,548,1,48,0,0,0,0,116.8,122.0
11656,0,0,0,0,1,185,0,0,190,0,19,0,0,0,1,60.5,164.0
10975,0,0,0,0,3,812,0,1,181,0,25,0,0,0,1,146.3,104.0
11696,0,0,0,0,0,0,0,2,118,0,18,0,0,0,0,41.8,177.0
11677,0,0,0,0,0,17,0,3,444,0,32,0,0,0,0,96.1,137.0
9474,0,0,0,0,0,0,0,3,634,0,52,0,0,0,0,133.4,112.0
9936,0,0,0,0,0,0,0,0,53,0,2,0,0,0,0,7.3,192.0
9144,0,0,0,0,0,0,0,2,556,1,51,0,0,0,0,120.6,121.0
11783,0,0,0,0,0,-6,0,5,696,0,48,0,0,0,0,147.0,103.0
11154,5,838,3,0,1,52,0,0,0,0,0,0,0,0,0,70.72,159.0
11785,0,0,0,0,0,0,0,2,225,0,20,0,0,0,0,54.5,169.0
11150,13,2525,13,0,1,238,0,0,0,0,0,0,0,0,3,202.8,63.0
1600,0,0,0,0,0,2,0,6,841,0,47,0,0,0,1,165.3,88.0
11454,0,0,0,0,8,849,0,2,324,0,34,0,0,0,0,211.3,57.0
11688,0,0,0,0,0,12,0,7,528,0,25,0,0,0,0,121.0,119.0
11432,0,0,0,0,3,244,0,1,352,0,45,0,0,0,2,124.6,116.0
11761,0,0,0,0,0,538,0,0,135,0,27,0,0,0,0,94.3,141.0
9843,0,0,0,0,0,13,0,7,953,0,74,0,0,0,1,210.6,58.0
11440,0,0,0,0,0,0,0,6,1210,0,76,0,0,0,1,231.0,44.0
10723,1,79,0,0,0,51,0,5,774,1,56,0,0,0,0,177.66,77.0
8062,17,2483,8,0,2,188,0,0,0,0,0,0,0,0,1,212.12,56.0
11644,21,3271,12,0,0,96,0,0,0,0,0,0,0,0,4,240.44,42.0
11668,0,0,0,0,8,607,0,0,87,0,9,0,0,0,2,122.4,118.0
10300,0,0,0,0,1,217,0,1,173,0,29,0,0,0,0,80.0,155.0
11681,0,0,0,0,0,0,0,1,271,0,29,0,0,0,0,62.1,163.0
11680,0,0,0,0,0,-4,0,5,755,0,84,0,0,0,4,181.1,75.0
11925,0,0,0,0,0,0,0,6,677,0,51,0,0,0,0,154.7,98.0
8042,3,425,4,0,0,19,0,0,0,0,0,0,0,0,0,38.9,178.0
11390,0,0,0,0,2,424,0,0,143,0,17,0,0,0,0,85.7,150.0
9050,0,0,0,0,0,0,0,4,693,0,47,0,0,0,0,140.3,108.0
8838,0,0,0,0,0,0,0,1,340,0,32,0,0,0,1,70.0,160.0
10674,0,0,0,0,0,0,0,4,693,0,47,0,0,0,0,140.3,108.0
11704,0,0,0,0,0,0,0,8,774,0,51,0,0,0,0,176.4,79.0
7480,0,57,2,0,0,0,0,0,0,0,0,0,0,0,1,4.28,195.0
11834,0,0,0,0,2,528,0,1,113,0,15,0,0,0,0,97.1,133.0
10714,0,0,0,0,0,306,0,2,186,0,16,0,0,0,1,75.2,157.0
8269,0,0,0,0,0,0,0,2,206,0,18,0,0,0,0,50.6,175.0
11176,0,0,0,0,2,340,0,0,20,0,4,0,0,0,0,52.0,173.0
11076,0,17,0,0,0,15,0,1,537,0,38,0,0,0,0,99.88,131.0
11659,0,0,0,0,1,248,0,1,225,0,30,0,0,0,1,87.3,147.0
11252,0,0,0,0,0,0,0,2,238,0,31,0,0,0,1,64.8,161.0
4891,40,4761,16,0,3,263,0,0,0,0,0,0,0,0,6,414.74,1.0
9714,12,3339,13,0,0,33,0,0,0,0,0,0,0,0,1,208.86,61.0
10710,0,0,0,0,6,820,0,1,123,0,18,0,0,0,1,152.3,99.0
11481,0,0,0,0,0,0,0,2,229,0,22,0,0,0,0,56.9,167.0
11870,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,3.6,197.0
10735,0,0,0,0,0,0,0,3,375,0,25,0,0,0,0,80.5,153.0
11188,0,0,0,0,0,51,0,4,316,0,34,0,0,0,0,94.7,138.0
8117,0,0,0,0,1,28,0,2,62,0,6,0,0,0,0,33.0,179.0
8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,199.0
11698,0,0,0,0,0,0,0,1,28,0,4,0,0,0,0,12.8,186.0
9315,0,0,0,0,0,37,0,0,-5,0,1,0,0,0,0,4.2,196.0
11409,0,0,0,0,0,-11,0,2,475,1,31,0,0,0,0,91.4,144.0
9838,0,0,0,0,0,0,0,4,446,0,60,0,0,0,0,128.6,114.0
10700,10,1710,9,0,0,20,0,0,0,0,0,0,0,0,2,124.4,117.0
11125,0,0,0,0,0,0,0,0,44,0,4,0,0,0,0,8.4,190.0
10301,0,0,0,0,1,186,0,1,198,0,25,0,0,0,0,75.4,156.0
11258,0,0,0,0,0,0,0,4,534,0,58,0,0,0,1,133.4,112.0
9921,0,0,0,0,0,21,0,2,453,0,36,0,0,0,2,91.4,144.0
10392,0,0,0,0,0,86,0,1,409,0,38,0,0,0,0,93.5,142.0
10736,0,0,0,0,0,0,0,4,426,0,41,0,0,0,2,103.6,129.0
