plyrId,avgPick,draftCnt,totDrafts,pprFlg,year
9690,85.81,3275,3373,1,2016
11721,85.88,218,3373,1,2016
12658,86.16,3359,3373,1,2016
6929,87.43,3265,3373,1,2016
12155,87.55,3326,3373,1,2016
11250,87.76,3281,3373,1,2016
9075,88.79,3328,3373,1,2016
12626,93.00,3316,3373,1,2016
9840,93.07,214,3373,1,2016
7877,94.64,3323,3373,1,2016
11247,95.31,3271,3373,1,2016
10389,96.21,2508,3373,1,2016
12153,96.47,3306,3373,1,2016
9189,96.65,3283,3373,1,2016
7391,97.97,3337,3373,1,2016
8268,98.02,3357,3373,1,2016
10372,98.92,3269,3373,1,2016
12186,99.61,3289,3373,1,2016
12646,99.76,3222,3373,1,2016
9966,100.43,204,3373,1,2016
11644,100.54,3285,3373,1,2016
7394,104.09,3292,3373,1,2016
11951,106.10,3273,3373,1,2016
9680,106.60,3345,3373,1,2016
12140,107.09,3270,3373,1,2016
0511,107.99,2767,3373,1,2016
12154,109.43,3286,3373,1,2016
11813,109.46,208,3373,1,2016
11656,110.22,3230,3373,1,2016
10077,110.42,3285,3373,1,2016
11757,111.32,195,3373,1,2016
11213,112.65,3278,3373,1,2016
11293,115.56,208,3373,1,2016
0515,116.17,2810,3373,1,2016
10700,116.83,3279,3373,1,2016
11728,117.22,203,3373,1,2016
7236,117.96,3242,3373,1,2016
12205,118.54,3178,3373,1,2016
12652,118.76,3117,3373,1,2016
0519,119.34,2762,3373,1,2016
9925,120.08,3323,3373,1,2016
10737,120.52,3205,3373,1,2016
9278,120.94,3147,3373,1,2016
11267,122.06,194,3373,1,2016
12645,122.25,2890,3373,1,2016
9431,122.57,3307,3373,1,2016
8359,123.41,2815,3373,1,2016
11349,123.88,203,3373,1,2016
11229,124.02,3168,3373,1,2016
9044,124.67,3297,3373,1,2016
11313,124.76,200,3373,1,2016
11188,125.57,3183,3373,1,2016
12141,126.34,3217,3373,1,2016
10289,126.62,3139,3373,1,2016
10742,127.69,3184,3373,1,2016
0527,128.03,2764,3373,1,2016
10775,128.40,202,3373,1,2016
10413,128.47,3253,3373,1,2016
12152,129.04,3181,3373,1,2016
11668,129.32,3209,3373,1,2016
10744,130.62,1932,3373,1,2016
7873,131.92,3159,3373,1,2016
10269,132.65,178,3373,1,2016
9825,133.08,181,3373,1,2016
9898,133.65,3223,3373,1,2016
10651,133.67,3042,3373,1,2016
11695,135.74,3066,3373,1,2016
10313,136.31,3235,3373,1,2016
12180,137.44,2516,3373,1,2016
0532,138.27,2805,3373,1,2016
9099,138.61,3223,3373,1,2016
12648,140.13,2085,3373,1,2016
