plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
8243,149.17,574,725,0,2015,Reggie,Bush,RB,SFO,143.0,8243,0,0,0,0,3,758,0,2,188,0,20,0,0,0,2,140.6,115.0
10743,150.06,499,725,0,2015,Coby,Fleener,TE,IND,144.0,10743,0,0,0,0,0,0,0,3,491,1,54,0,0,0,0,123.1,123.0
8252,150.42,538,725,0,2015,Jay,Cutler,QB,CHI,145.0,8252,21,3659,11,1,1,201,0,0,0,0,0,0,0,0,5,266.46,33.0
12180,151.09,404,725,0,2015,Dorial,Green-Beckham,WR,TEN,146.0,12180,0,0,0,0,0,3,0,13,1449,0,96,0,0,0,0,319.2,18.0
11656,151.29,443,725,0,2015,Charles,Sims,RB,TBB,147.0,11656,0,0,0,0,0,529,0,4,561,0,51,0,0,0,2,180.0,82.0
8247,151.54,525,725,0,2015,Vernon,Davis,TE,DEN,148.0,8247,0,0,0,0,0,0,0,0,395,0,38,0,0,0,0,77.5,164.0
12141,153.06,476,725,0,2015,Marcus,Mariota,QB,TEN,149.0,12141,19,2818,10,3,2,252,0,1,41,0,1,0,0,0,6,239.02,46.0
11227,153.35,435,725,0,2015,Kenny,Stills,WR,MIA,150.0,11227,0,0,0,0,0,0,0,3,440,0,27,0,0,0,0,89.0,156.0
12162,154.47,392,725,0,2015,Matt,Jones,RB,WAS,152.0,12162,0,0,0,0,3,490,0,1,304,0,19,0,0,0,4,114.4,134.0
11644,155.46,436,725,0,2015,Derek,Carr,QB,OAK,153.0,11644,32,3987,13,1,0,138,0,0,0,0,0,0,0,0,2,321.28,17.0
11697,156.65,373,725,0,2015,Austin,Seferian-Jenkins,TE,TBB,154.0,11697,0,0,0,0,0,0,0,4,338,0,21,0,0,0,0,78.8,163.0
9441,156.77,448,725,0,2015,Percy,Harvin,WR,BUF,155.0,9441,0,0,0,0,0,11,0,8,1088,0,87,0,0,0,1,242.9,44.0
9427,157.63,430,725,0,2015,Michael,Crabtree,WR,OAK,156.0,9427,0,0,0,0,0,0,0,9,922,0,85,0,0,0,0,231.2,50.0
11332,158.93,284,725,0,2015,Jonas,Gray,RB,JAC,158.0,11332,0,0,0,0,0,2,0,0,13,0,2,0,0,0,1,1.5,207.0
11677,158.95,245,725,0,2015,Donte,Moncrief,WR,IND,159.0,11677,0,0,0,0,0,0,0,6,733,0,64,0,0,0,0,173.3,87.0
11758,159.26,296,725,0,2015,Cody,Latimer,WR,DEN,160.0,11758,0,0,0,0,0,1,0,1,59,0,6,0,0,0,0,18.0,200.0
11785,160.49,388,725,0,2015,Richard,Rodgers,TE,GBP,161.0,11785,0,0,0,0,0,11,0,8,510,1,58,0,0,0,0,160.1,102.0
12154,160.57,171,725,0,2015,Jay,Ajayi,RB,MIA,162.0,12154,0,0,0,0,1,187,0,0,90,0,7,0,0,0,0,40.7,180.0
10527,160.62,416,725,0,2015,Doug,Baldwin,WR,SEA,163.0,10527,0,0,0,0,0,0,0,14,1069,0,78,0,0,0,0,268.9,31.0
12187,160.96,277,725,0,2015,Tyler,Lockett,WR,SEA,164.0,12187,0,0,0,0,0,20,0,6,664,0,51,1,1,0,1,165.4,95.0
7813,162.1,324,725,0,2015,Alex,Smith,QB,KCC,165.0,7813,20,3486,7,1,2,498,0,0,0,0,0,0,0,0,0,293.24,26.0
11695,162.29,248,725,0,2015,Eric,Ebron,TE,DET,166.0,11695,0,0,0,0,0,0,0,5,537,0,47,0,0,0,0,130.7,120.0
10725,162.35,325,725,0,2015,Rueben,Randle,WR,NYG,167.0,10725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,210.0
12188,163.24,273,725,0,2015,Phillip,Dorsett,WR,IND,168.0,12188,0,0,0,0,0,17,0,1,225,0,18,0,0,0,1,46.2,174.0
11179,163.69,163,725,0,2015,Christine,Michael,RB,SEA,169.0,11179,0,0,0,0,0,243,0,0,16,0,3,0,0,0,0,28.9,190.0
10738,163.92,316,725,0,2015,Marvin,Jones,WR,CIN,170.0,10738,0,0,0,0,0,33,0,4,816,0,65,0,0,0,0,173.9,86.0
7842,164.12,371,725,0,2015,Heath,Miller,TE,PIT,171.0,7842,0,0,0,0,0,0,0,5,439,0,34,0,0,0,0,107.9,140.0
10699,164.22,333,725,0,2015,Nick,Foles,QB,STL,172.0,10699,7,2052,10,1,1,20,0,0,0,0,0,0,0,0,2,132.08,118.0
11210,164.27,301,725,0,2015,Denard,Robinson,RB,JAC,173.0,11210,0,0,0,0,8,581,0,4,457,0,36,1,0,0,1,215.8,56.0
